total_pixels,cropped_pixels,black_border_percent,image_index
524288,182784,34.86328125,0
524288,210432,40.13671875,1
524288,237568,45.3125,2
524288,219648,41.89453125,3
524288,241664,46.09375,4
524288,262144,50.0,5
524288,262144,50.0,6
524288,262144,50.0,7
524288,218112,41.6015625,8
524288,245760,46.875,9
524288,262144,50.0,10
524288,249344,47.55859375,11
524288,262144,50.0,12
524288,225280,42.96875,13
